Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS
uscapitolpolice.gov,uscapitolpolice.gov,http://www.uscapitolpolice.gov,True,True,https://www.uscp.gov/,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
uscavc.gov,uscavc.gov,http://uscavc.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
uscc.gov,uscc.gov,https://uscc.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
usccr.gov,usccr.gov,http://usccr.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
uscg.gov,uscg.gov,http://uscg.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
uscirf.gov,uscirf.gov,http://www.uscirf.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False
uscis.gov,uscis.gov,https://www.uscis.gov,True,False,,True,True,False,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
uscode.gov,uscode.gov,https://uscode.gov,True,True,https://www.gpo.gov/fdsys/browse/collectionUScode.action?collectionCode=USCODE,True,True,False,True,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,False,True,True,True
uscongress.gov,uscongress.gov,http://uscongress.gov,True,True,https://www.congress.gov/,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False,False
usconsulate.gov,usconsulate.gov,http://usconsulate.gov,True,True,https://www.usembassy.gov,False,False,False,True,True,True,False,False,,,False,False,False,False,False,False,False,False
uscourts.gov,uscourts.gov,http://www.uscourts.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
uscp.gov,uscp.gov,https://www.uscp.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
uscurrency.gov,uscurrency.gov,https://www.uscurrency.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,True,True,True,True,True
usda.gov,usda.gov,https://www.usda.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000;,31536000,False,False,False,False,False,True,True,True
usdapii.gov,usdapii.gov,http://usdapii.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
usdebitcard.gov,usdebitcard.gov,https://www.usdebitcard.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
usdigitalservice.gov,usdigitalservice.gov,http://www.usdigitalservice.gov,True,True,,True,False,False,False,False,False,False,True,max-age=2592000,2592000,False,False,False,False,False,True,False,False
usdoj.gov,usdoj.gov,http://usdoj.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
usds.gov,usds.gov,http://www.usds.gov,True,True,,True,False,False,False,False,False,False,True,max-age=2592000,2592000,False,False,False,False,False,True,False,False
usembassy-mexico.gov,usembassy-mexico.gov,http://www.usembassy-mexico.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
usembassy.gov,usembassy.gov,https://www.usembassy.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,False,True,True,True
userra.gov,userra.gov,http://userra.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
usgcrp.gov,usgcrp.gov,http://usgcrp.gov,True,True,http://www.globalchange.gov,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
usgeo.gov,usgeo.gov,https://usgeo.gov,True,True,https://www.whitehouse.gov/administration/eop/ostp/nstc/committees/cenrs/usgeo,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
usgovernment.gov,usgovernment.gov,https://usgovernment.gov,True,True,https://www.usa.gov,True,True,False,True,False,False,False,True,max-age=31536000;,31536000,False,False,False,False,False,True,True,True
usgovernmentmanual.gov,usgovernmentmanual.gov,https://usgovernmentmanual.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
usgs.gov,usgs.gov,https://www.usgs.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
ushmm.gov,ushmm.gov,http://ushmm.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
ushouse.gov,ushouse.gov,http://ushouse.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
ushr.gov,ushr.gov,http://ushr.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
usich.gov,usich.gov,https://www.usich.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
usint.gov,usint.gov,http://usint.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
usip.gov,usip.gov,http://usip.gov,True,True,https://www.usip.org/?utm_source=usip.gov,False,False,False,True,False,True,False,False,,,False,False,False,False,False,False,False,False
usitc.gov,usitc.gov,https://usitc.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
usitcoig.gov,usitcoig.gov,http://usitcoig.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
usmarshals.gov,usmarshals.gov,http://usmarshals.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
usmint.gov,usmint.gov,https://www.usmint.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True
usmission.gov,usmission.gov,http://usmission.gov,True,True,https://www.usembassy.gov,False,False,False,True,True,True,False,False,,,False,False,False,False,False,False,False,False
usphs.gov,usphs.gov,https://usphs.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True
uspis.gov,uspis.gov,http://uspis.gov,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
usprobation.gov,usprobation.gov,http://www.usprobation.gov,True,True,http://www.uscourts.gov/services-forms/probation-and-pretrial-services,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
usps.gov,usps.gov,https://www.usps.gov,True,True,https://www.usps.com/,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
uspsinformeddelivery.gov,uspsinformeddelivery.gov,http://uspsinformeddelivery.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
uspsinnovates.gov,uspsinnovates.gov,http://www.uspsinnovates.gov,True,False,,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False
uspsoig.gov,uspsoig.gov,https://uspsoig.gov,True,False,,True,True,False,True,False,False,False,True,max-age=63072000; includeSubdomains; preload,63072000,True,True,False,True,True,True,True,True
uspto.gov,uspto.gov,https://www.uspto.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True
ussc.gov,ussc.gov,http://ussc.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
ussm.gov,ussm.gov,https://www.ussm.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True
usss.gov,usss.gov,http://usss.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
ustaxcourt.gov,ustaxcourt.gov,http://ustaxcourt.gov,True,False,,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False
ustda.gov,ustda.gov,https://www.ustda.gov,True,False,,True,True,False,True,False,False,False,False,,,False,False,False,False,False,True,True,False
ustr.gov,ustr.gov,https://ustr.gov,True,False,,True,True,False,True,False,False,False,True,max-age=86400,86400,False,False,False,True,True,True,True,False
ustreas.gov,ustreas.gov,http://ustreas.gov,True,True,https://www.treasury.gov/Pages/default.aspx,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False
usvpp.gov,usvpp.gov,http://usvpp.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False
utahfireinfo.gov,utahfireinfo.gov,https://www.utahfireinfo.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True
va.gov,va.gov,https://va.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000 ; include Subdomains preload,31536000,False,False,False,False,False,True,True,True
vaccines.gov,vaccines.gov,https://www.vaccines.gov,True,False,,True,True,False,True,False,False,False,True,max-age=31536000;includeSubDomains;preload,31536000,True,True,False,True,True,True,True,True
vcf.gov,vcf.gov,http://vcf.gov,False,False,,False,False,False,False,False,False,False,False,,,False,False,False,True,True,False,False,False
