Domain,Base Domain,censys-snapshot,rdns-snapshot,dap,eot2016,parents
11111011100.petitions.whitehouse.gov,whitehouse.gov,True,False,True,False,False
11111011100.whitehouse.gov,whitehouse.gov,True,False,False,True,False
111_freshmen.house.gov,house.gov,False,False,False,True,False
113transition.house.gov,house.gov,False,False,False,True,False
119th.miwg.cap.gov,cap.gov,False,False,False,True,False
11bm.xor.aps.anl.gov,anl.gov,False,False,False,True,False
11bm.xray.aps.anl.gov,anl.gov,False,False,False,True,False
11ch0208.nichd.nih.gov,nih.gov,True,False,False,False,False
123d.ncifcrf.gov,ncifcrf.gov,False,False,False,True,False
12bm.xray.aps.anl.gov,anl.gov,False,False,False,True,False
12id.xray.aps.anl.gov,anl.gov,False,False,False,True,False
1303.gp2.pawg.cap.gov,cap.gov,False,False,False,True,False
1303.gp5.pawg.cap.gov,cap.gov,False,False,False,True,False
13bmcam.cars.aps.anl.gov,anl.gov,False,False,False,True,False
1540.sandia.gov,sandia.gov,False,False,False,True,False
1603.treasury.gov,treasury.gov,True,False,False,False,False
1800quitnow.cancer.gov,cancer.gov,False,False,False,True,False
1813.anl.gov,anl.gov,False,False,False,True,False
1861.history.state.gov,state.gov,True,False,True,True,False
1890scholars.program.usda.gov,usda.gov,False,False,False,True,False
1890scholarsprogram.usda.gov,usda.gov,False,False,False,True,False
18f.gsa.gov,gsa.gov,True,False,True,True,False
18franklin.18f.gov,18f.gov,True,False,False,False,False
1918.pandemicflu.gov,pandemicflu.gov,False,False,False,True,False
1930census.archives.gov,archives.gov,False,False,False,True,False
1930census.nara.gov,nara.gov,False,False,False,True,False
1940census.archives.gov,archives.gov,True,False,False,True,False
1991.history.state.gov,state.gov,True,False,True,True,False
1993-2001.state.gov,state.gov,False,False,False,True,False
1997-2001.state.gov,state.gov,True,False,True,True,False
19january2017snapshot.epa.gov,epa.gov,True,False,True,False,False
1b.cms.gov,cms.gov,False,False,False,True,False
1bts.rita.dot.gov,dot.gov,False,False,False,True,False
1c3rs.rita.dot.gov,dot.gov,False,False,False,True,False
1climate.dot.gov,dot.gov,False,False,False,True,False
1d.cms.gov,cms.gov,False,False,False,True,False
1pnt.rita.dot.gov,dot.gov,False,False,False,True,False
1stop.usgs.gov,usgs.gov,True,False,False,True,False
1utc.rita.dot.gov,dot.gov,False,False,False,True,False
1wv19vsec01.nrel.gov,nrel.gov,True,False,False,False,False
1wv19vsec02.nrel.gov,nrel.gov,True,False,False,False,False
2-pcmdi.llnl.gov,llnl.gov,False,False,False,True,False
2.abmc.gov,abmc.gov,False,False,False,True,False
2.airweb.faa.gov,faa.gov,False,False,False,True,False
2.bfrl.nist.gov,nist.gov,False,False,False,True,False
2.bnl.gov,bnl.gov,False,False,False,True,False
2.ca3.uscourts.gov,uscourts.gov,False,False,False,True,False
2.cacb.uscourts.gov,uscourts.gov,False,False,False,True,False
2.cdc.gov,cdc.gov,False,False,False,True,False
2.census.gov,census.gov,False,False,False,True,False
2.coastalscience.noaa.gov,noaa.gov,False,False,False,True,False
2.crh.noaa.gov,noaa.gov,False,False,False,True,False
2.ed.gov,ed.gov,False,False,False,True,False
