Domain,Base Domain,Scanned Hostname,SSLv2,SSLv3,TLSv1.0,TLSv1.1,TLSv1.2,Any Forward Secrecy,All Forward Secrecy,Weakest DH Group Size,Any RC4,All RC4,Any 3DES,Key Type,Key Length,Signature Algorithm,SHA-1 in Served Chain,SHA-1 in Constructed Chain,Not Before,Not After,Highest Served Issuer,Highest Constructed Issuer,Errors
18f.gov,18f.gov,18f.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
9-11commission.gov,9-11commission.gov,9-11commission.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
911.gov,911.gov,www.911.gov,False,False,False,False,True,True,False,256,False,False,False,,,,,,,,,,
911commission.gov,911commission.gov,911commission.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
abandonedmines.gov,abandonedmines.gov,abandonedmines.gov,False,False,True,True,True,True,False,570,False,False,False,,,,,,,,,,
abilityone.gov,abilityone.gov,abilityone.gov,False,False,True,False,False,True,False,256,False,False,False,,,,,,,,,,
abmc.gov,abmc.gov,abmc.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
access-board.gov,access-board.gov,www.access-board.gov,False,False,False,False,True,True,False,256,False,False,False,,,,,,,,,,
acl.gov,acl.gov,www.acl.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
acquisition.gov,acquisition.gov,acquisition.gov,False,False,False,True,True,True,True,521,False,False,False,,,,,,,,,,
acus.gov,acus.gov,acus.gov,False,False,False,False,True,True,False,256,False,False,False,,,,,,,,,,
acwi.gov,acwi.gov,acwi.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
ada.gov,ada.gov,www.ada.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
adlnet.gov,adlnet.gov,adlnet.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
admongo.gov,admongo.gov,www.admongo.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
adr.gov,adr.gov,www.adr.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
afadvantage.gov,afadvantage.gov,afadvantage.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
aff.gov,aff.gov,www.aff.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
afrh.gov,afrh.gov,www.afrh.gov,False,False,False,False,True,False,False,,False,False,False,,,,,,,,,,
africanamericanhistorymonth.gov,africanamericanhistorymonth.gov,africanamericanhistorymonth.gov,False,False,True,True,True,True,False,256,False,False,True,,,,,,,,,,
aging.gov,aging.gov,aging.gov,False,False,True,True,True,True,True,256,False,False,False,,,,,,,,,,
agingstats.gov,agingstats.gov,agingstats.gov,False,False,True,False,True,True,False,256,False,False,False,,,,,,,,,,
ahcpr.gov,ahcpr.gov,ahcpr.gov,False,False,True,False,False,True,False,256,False,False,False,,,,,,,,,,
ahrq.gov,ahrq.gov,,,,,,,,,,,,,,,,,,,,,,
aids.gov,aids.gov,aids.gov,False,False,True,True,True,True,True,256,False,False,False,,,,,,,,,,
airnow.gov,airnow.gov,airnow.gov,False,False,True,True,True,True,True,256,False,False,False,,,,,,,,,,
alaskacenters.gov,alaskacenters.gov,www.alaskacenters.gov,False,False,False,False,True,True,True,256,False,False,False,,,,,,,,,,
alertaenlinea.gov,alertaenlinea.gov,www.alertaenlinea.gov,False,False,True,True,True,True,False,256,False,False,False,,,,,,,,,,
alzheimers.gov,alzheimers.gov,www.alzheimers.gov,False,False,False,True,True,True,False,256,False,False,False,,,,,,,,,,
ama.gov,ama.gov,www.ama.gov,False,False,True,True,True,True,False,384,False,False,True,,,,,,,,,,
amberalert.gov,amberalert.gov,amberalert.gov,False,False,True,True,True,True,False,384,False,False,False,,,,,,,,,,
