Domain,Base Domain,Participates in Analytics
citizenscience.gov,citizenscience.gov,True
civilrightsusa.gov,civilrightsusa.gov,False
cjis.gov,cjis.gov,False
climate.gov,climate.gov,True
clinicaltrial.gov,clinicaltrial.gov,False
clinicaltrials.gov,clinicaltrials.gov,False
clintonlibrary.gov,clintonlibrary.gov,True
cloud.gov,cloud.gov,True
cms.gov,cms.gov,True
cmts.gov,cmts.gov,True
cncs.gov,cncs.gov,False
cncsoig.gov,cncsoig.gov,False
cns.gov,cns.gov,False
cnss.gov,cnss.gov,True
coastalamerica.gov,coastalamerica.gov,False
code.gov,code.gov,True
collegedrinkingprevention.gov,collegedrinkingprevention.gov,False
collegenavigator.gov,collegenavigator.gov,False
commerce.gov,commerce.gov,True
complaintreferralexpress.gov,complaintreferralexpress.gov,False
compliance.gov,compliance.gov,False
comptrollerofthecurrency.gov,comptrollerofthecurrency.gov,True
computersforlearning.gov,computersforlearning.gov,True
congress.gov,congress.gov,False
congressionaldirectory.gov,congressionaldirectory.gov,False
congressionalrecord.gov,congressionalrecord.gov,False
connect.gov,connect.gov,True
consumer.gov,consumer.gov,True
consumeraction.gov,consumeraction.gov,False
consumerbureau.gov,consumerbureau.gov,False
consumerfinance.gov,consumerfinance.gov,True
consumerfinancial.gov,consumerfinancial.gov,False
consumerfinancialbureau.gov,consumerfinancialbureau.gov,False
consumerfinancialprotectionbureau.gov,consumerfinancialprotectionbureau.gov,False
consumerprotection.gov,consumerprotection.gov,False
consumerprotectionbureau.gov,consumerprotectionbureau.gov,False
consumersentinel.gov,consumersentinel.gov,False
consumersentinelnetwork.gov,consumersentinelnetwork.gov,False
consumidor.gov,consumidor.gov,True
continentalshelf.gov,continentalshelf.gov,True
contractdirectory.gov,contractdirectory.gov,True
copyright.gov,copyright.gov,False
coralreef.gov,coralreef.gov,True
cosponsor.gov,cosponsor.gov,False
cpars.gov,cpars.gov,True
cpnireporting.gov,cpnireporting.gov,False
cpsc.gov,cpsc.gov,True
crb.gov,crb.gov,False
crimesolutions.gov,crimesolutions.gov,True
crimevictims.gov,crimevictims.gov,True
crs.gov,crs.gov,False
crt2014-2024review.gov,crt2014-2024review.gov,False
csb.gov,csb.gov,False
csce.gov,csce.gov,False
csosa.fed.us,csosa.fed.us,False
csosa.gov,csosa.gov,False
ctoc.gov,ctoc.gov,False
cttso.gov,cttso.gov,True
cuidadodesalud.gov,cuidadodesalud.gov,False
cupcao.gov,cupcao.gov,True
cwc.gov,cwc.gov,False
cyber.gov,cyber.gov,False
cybercareers.gov,cybercareers.gov,False
cybercrime.gov,cybercrime.gov,False
cybersecurity.gov,cybersecurity.gov,False
data.gov,data.gov,True
dc3on.gov,dc3on.gov,False
dea.gov,dea.gov,True
deadiversion.gov,deadiversion.gov,False
deaecom.gov,deaecom.gov,False
deals.gov,deals.gov,False
defense.gov,defense.gov,True
defensebusiness.gov,defensebusiness.gov,False
defensemanufacturing.gov,defensemanufacturing.gov,False
democraticleader.gov,democraticleader.gov,False
democraticwhip.gov,democraticwhip.gov,False
democrats.gov,democrats.gov,False
dems.gov,dems.gov,False
denali.gov,denali.gov,False
devtestfan1.gov,devtestfan1.gov,False
df.gov,df.gov,False
dfafacts.gov,dfafacts.gov,False
dhhs.gov,dhhs.gov,False
dhs.gov,dhs.gov,True
diabetescommittee.gov,diabetescommittee.gov,False
dietaryguidelines.gov,dietaryguidelines.gov,True
digital.gov,digital.gov,False
digitaldashboard.gov,digitaldashboard.gov,True
digitalgov.gov,digitalgov.gov,True
digitalliteracy.gov,digitalliteracy.gov,False
digitalpreservation.gov,digitalpreservation.gov,False
digitizationguidelines.gov,digitizationguidelines.gov,False
directoasucuenta.gov,directoasucuenta.gov,False
disability.gov,disability.gov,False
disasterassistance.gov,disasterassistance.gov,True
disasterhousing.gov,disasterhousing.gov,False
distracteddriving.gov,distracteddriving.gov,False
distraction.gov,distraction.gov,False
dnfsb.gov,dnfsb.gov,True
dni.gov,dni.gov,True
dnsops.gov,dnsops.gov,False
doc.gov,doc.gov,False
docline.gov,docline.gov,True
dod.gov,dod.gov,False
dodbusiness.gov,dodbusiness.gov,False
doe.gov,doe.gov,False
doeal.gov,doeal.gov,False
doi.gov,doi.gov,True
doioig.gov,doioig.gov,False
doj.gov,doj.gov,False
dol-esa.gov,dol-esa.gov,False
dol.gov,dol.gov,True
doleta.gov,doleta.gov,True
donaciondeorganos.gov,donaciondeorganos.gov,True
donotcall.gov,donotcall.gov,True
dontserveteens.gov,dontserveteens.gov,False
dot.gov,dot.gov,True
dotgov.gov,dotgov.gov,True
dotideahub.gov,dotideahub.gov,False
dottrafficrecords.gov,dottrafficrecords.gov,False
dra.gov,dra.gov,False
drought.gov,drought.gov,True
drugabuse.gov,drugabuse.gov,True
drugfreeworkplace.gov,drugfreeworkplace.gov,False
drywallresponse.gov,drywallresponse.gov,False
dsac.gov,dsac.gov,False
dtv.gov,dtv.gov,False
e-enterprise.gov,e-enterprise.gov,True
e-qip.gov,e-qip.gov,False
e-verify.gov,e-verify.gov,False
eac.gov,eac.gov,True
eaclearinghouse.gov,eaclearinghouse.gov,False
eaglecash.gov,eaglecash.gov,False
earmarks.gov,earmarks.gov,False
earthquake.gov,earthquake.gov,False
earthsystemprediction.gov,earthsystemprediction.gov,False
ecfr.gov,ecfr.gov,False
economicinclusion.gov,economicinclusion.gov,False
econsumer.gov,econsumer.gov,True
ecpic.gov,ecpic.gov,True
ecr.gov,ecr.gov,False
ed.gov,ed.gov,True
eda.gov,eda.gov,True
edison.gov,edison.gov,False
edpubs.gov,edpubs.gov,False
education.gov,education.gov,True
eeoc.gov,eeoc.gov,True
eftps.gov,eftps.gov,False
eguardian.gov,eguardian.gov,False
eia.gov,eia.gov,False
eisenhowermemorial.gov,eisenhowermemorial.gov,True
eldercare.gov,eldercare.gov,False
elderjustice.gov,elderjustice.gov,False
emergency-federal-register.gov,emergency-federal-register.gov,False
employeeexpress.gov,employeeexpress.gov,False
employer.gov,employer.gov,False
empowhr.gov,empowhr.gov,True
ems.gov,ems.gov,False
endingthedocumentgame.gov,endingthedocumentgame.gov,False
energy.gov,energy.gov,True
energycodes.gov,energycodes.gov,False
energysaver.gov,energysaver.gov,False
energysavers.gov,energysavers.gov,False
energystar.gov,energystar.gov,True
eop.gov,eop.gov,False
epa.gov,epa.gov,True
epic.gov,epic.gov,False
erdc.gov,erdc.gov,False
errp.gov,errp.gov,False
esa.gov,esa.gov,True
esc.gov,esc.gov,False
eseclab.gov,eseclab.gov,False
esrs.gov,esrs.gov,True
eta-find.gov,eta-find.gov,False
ethics.gov,ethics.gov,False
ethicsburg.gov,ethicsburg.gov,False
evergladesrestoration.gov,evergladesrestoration.gov,False
everify.gov,everify.gov,False
everykidinapark.gov,everykidinapark.gov,True
evus.gov,evus.gov,False
execsec.gov,execsec.gov,False
exim.gov,exim.gov,False
exploretsp.gov,exploretsp.gov,False
export.gov,export.gov,True
eyenote.gov,eyenote.gov,False
faa.gov,faa.gov,True
faasafety.gov,faasafety.gov,False
faca.gov,faca.gov,False
facadatabase.gov,facadatabase.gov,True
fafsa.gov,fafsa.gov,False
fai.gov,fai.gov,True
famep.gov,famep.gov,False
fan.gov,fan.gov,False
fapiis.gov,fapiis.gov,True
faq.gov,faq.gov,False
fara.gov,fara.gov,True
fasab.gov,fasab.gov,False
fatherhood.gov,fatherhood.gov,False
fbi.gov,fbi.gov,False
fbiic.gov,fbiic.gov,False
fbijobs.gov,fbijobs.gov,False
fbo.gov,fbo.gov,True
fca.gov,fca.gov,False
fcc.gov,fcc.gov,False
fccuniversity.gov,fccuniversity.gov,False
fcg.gov,fcg.gov,False
fcic.gov,fcic.gov,False
fcsic.gov,fcsic.gov,False
fda.gov,fda.gov,True
fdic.gov,fdic.gov,True
fdicconnect.gov,fdicconnect.gov,False
fdicig.gov,fdicig.gov,True
fdicoig.gov,fdicoig.gov,True
fdicseguro.gov,fdicseguro.gov,False
fdlp.gov,fdlp.gov,False
fdms.gov,fdms.gov,False
fdsys.gov,fdsys.gov,False
fea.gov,fea.gov,True
feb.gov,feb.gov,True
fec.gov,fec.gov,True
fed.us,fed.us,False
fedbizopps.gov,fedbizopps.gov,False
fedcenter.gov,fedcenter.gov,True
federalcourts.gov,federalcourts.gov,False
federalinvestments.gov,federalinvestments.gov,True
federaljobs.gov,federaljobs.gov,False
federalprobation.gov,federalprobation.gov,False
federalregister.gov,federalregister.gov,False
federalreserve.gov,federalreserve.gov,False
federalreserve100.gov,federalreserve100.gov,False
federalreserve2013.gov,federalreserve2013.gov,False
federalreserveconsumerhelp.gov,federalreserveconsumerhelp.gov,False
federalrules.gov,federalrules.gov,False
federalspending.gov,federalspending.gov,False
fedidcard.gov,fedidcard.gov,True
fedinfo.gov,fedinfo.gov,False
fedinvest.gov,fedinvest.gov,True
fedjobs.gov,fedjobs.gov,False
fedpartnership.gov,fedpartnership.gov,False
fedramp.gov,fedramp.gov,True
fedreg.gov,fedreg.gov,False
fedrooms.gov,fedrooms.gov,False
fedshirevets.gov,fedshirevets.gov,True
fedspending.gov,fedspending.gov,False
feedthefuture.gov,feedthefuture.gov,True
fegli.gov,fegli.gov,False
fema.gov,fema.gov,True
ferc.gov,ferc.gov,True
fercalt.gov,fercalt.gov,False
ffiec.gov,ffiec.gov,False
fgdc.gov,fgdc.gov,False
fha.gov,fha.gov,False
fhfa.gov,fhfa.gov,True
fhfaoig.gov,fhfaoig.gov,True
fhfb.gov,fhfb.gov,False
financialresearch.gov,financialresearch.gov,True
financialstability.gov,financialstability.gov,False
fincen.gov,fincen.gov,False
firecode.gov,firecode.gov,False
fireinstitute.gov,fireinstitute.gov,False
fireleadership.gov,fireleadership.gov,False
firenet.gov,firenet.gov,False
firescience.gov,firescience.gov,False
firstfreedom.gov,firstfreedom.gov,False
firstgov.gov,firstgov.gov,False
firstnet.gov,firstnet.gov,False
firstresponder.gov,firstresponder.gov,False
firstrespondertraining.gov,firstrespondertraining.gov,True
fishwatch.gov,fishwatch.gov,True
fitness.gov,fitness.gov,False
fjc.gov,fjc.gov,False
fleta.gov,fleta.gov,True
fletc.gov,fletc.gov,True
flightschoolcandidates.gov,flightschoolcandidates.gov,False
floodsmart.gov,floodsmart.gov,False
flra.gov,flra.gov,True
flu.gov,flu.gov,False
fmc.gov,fmc.gov,True
fmcs.gov,fmcs.gov,False
fmi.gov,fmi.gov,True
fmshrc.gov,fmshrc.gov,False
fnal.gov,fnal.gov,False
foia.gov,foia.gov,True
foodsafety.gov,foodsafety.gov,True
foodsafetyjobs.gov,foodsafetyjobs.gov,False
fordlibrarymuseum.gov,fordlibrarymuseum.gov,True
foreignassistance.gov,foreignassistance.gov,True
forestsandrangelands.gov,forestsandrangelands.gov,True
forfeiture.gov,forfeiture.gov,True
forms.gov,forms.gov,False
fpc.gov,fpc.gov,True
fpds.gov,fpds.gov,True
fpi.gov,fpi.gov,False
fpisc.gov,fpisc.gov,False
fpki-lab.gov,fpki-lab.gov,False
fpki.gov,fpki.gov,False
frb.fed.us,frb.fed.us,False
frb.gov,frb.gov,False
frc.gov,frc.gov,False
freshempire.gov,freshempire.gov,False
frpg.gov,frpg.gov,True
frpp-pa.gov,frpp-pa.gov,False
frs.gov,frs.gov,False
frtib.gov,frtib.gov,False
frtibtest.gov,frtibtest.gov,False
frtr.gov,frtr.gov,True
fruitsandveggiesmatter.gov,fruitsandveggiesmatter.gov,False
fs.fed.us,fs.fed.us,False
fsafeds.gov,fsafeds.gov,False
fsapubs.gov,fsapubs.gov,False
fsd.gov,fsd.gov,True
fsgb.gov,fsgb.gov,False
fsoc.gov,fsoc.gov,False
fsrs.gov,fsrs.gov,True
ftc.gov,ftc.gov,True
ftccomplaintassistant.gov,ftccomplaintassistant.gov,True
ftcefile.gov,ftcefile.gov,False
fttesttwai.gov,fttesttwai.gov,False
fueleconomy.gov,fueleconomy.gov,False
fvap.gov,fvap.gov,True
fws.gov,fws.gov,True
g5.gov,g5.gov,True
gao.gov,gao.gov,False
gaonet.gov,gaonet.gov,False
gcdamp.gov,gcdamp.gov,False
gcmrc.gov,gcmrc.gov,True
genbank.gov,genbank.gov,False
genome.gov,genome.gov,False
geocommunicator.gov,geocommunicator.gov,False
geomac.gov,geomac.gov,True
geoplatform.gov,geoplatform.gov,False
georgewbushlibrary.gov,georgewbushlibrary.gov,False
getsmartaboutdrugs.gov,getsmartaboutdrugs.gov,True
getyouhome.gov,getyouhome.gov,False
ghi.gov,ghi.gov,True
ginniemae.gov,ginniemae.gov,True
girlshealth.gov,girlshealth.gov,True
glnpo.gov,glnpo.gov,False
globalchange.gov,globalchange.gov,True
globalentry.gov,globalentry.gov,False
globalhealth.gov,globalhealth.gov,False
globe.gov,globe.gov,False
gobierno.gov,gobierno.gov,False
gobiernousa.gov,gobiernousa.gov,False
godirect.gov,godirect.gov,False
goes-r.gov,goes-r.gov,True
golearn.gov,golearn.gov,False
gop.gov,gop.gov,False
gopleader.gov,gopleader.gov,False
govbenefits.gov,govbenefits.gov,True
governmentjobs.gov,governmentjobs.gov,False
govinfo.gov,govinfo.gov,False
govloans.gov,govloans.gov,True
govsales.gov,govsales.gov,True
gpo.gov,gpo.gov,False
gps.gov,gps.gov,True
grants.gov,grants.gov,False
grantsolutions.gov,grantsolutions.gov,False
greatagain.gov,greatagain.gov,False
green.gov,green.gov,False
greengov.gov,greengov.gov,False
